Date,HE,PGE,SCE,SDGE,VEA,CAISO Total
2021-01-05,300,254532.5131429998,256165.5027439999,52828.87723799999,1839.804728739998,565366.6729539994
2021-01-06,300,264981.1007159999,258812.852143,52860.05646899996,1839.804728739998,578522.0439199996
2021-01-07,300,261822.2859439998,260733.2392859997,51149.87969299996,2067.6004688599987,575773.0146659996
2021-01-08,300,260037.5573979999,257144.8315739999,51059.84376699999,2021.487791549998,570263.7288519992
2021-01-09,300,243189.7222879998,238129.74624199996,48251.66537599997,1903.77281095,531474.9085819998
2021-01-10,300,239729.9433899998,229548.65913699978,47645.98642399993,1970.3592239299987,518894.9558169998
2021-01-11,300,255901.4252419999,256429.02008699978,50990.33200599996,2066.77115243,565387.5715689994
2021-01-12,300,265928.3590209998,260615.929523,50957.34983599997,2077.182693219999,579578.8116969997
2021-01-13,300,250934.69027199998,257359.0903249997,51194.95931399997,1781.74147927,561258.4826299995
2021-01-14,300,248472.80682,256354.05271099968,50727.82924899995,1502.83749388,557057.5184899997
2021-01-15,300,247912.58905899987,256518.7130269997,49910.37340999994,1453.1631829899998,555794.8429029994
2021-01-16,300,229922.3296819999,234535.41542399998,45830.10121299998,1382.1507804599999,511669.9691569997
2021-01-17,300,223156.981603,226401.382735,45110.45529599995,1424.84439665,496093.6514079997
2021-01-18,300,238629.6926959999,242605.60330099988,48322.98166999996,1495.35576048,531053.6269549999
2021-01-19,300,241119.23941199997,250993.3270269998,51897.96800899997,1495.35576048,545207.7141999998
2021-01-20,300,247737.5991369998,249657.4689749998,51404.71771599994,1449.19915886,550248.9758919996
2021-01-21,300,254549.5281119998,249174.84950799998,48113.92752999997,1529.9548868499999,553368.2564229994
2021-01-22,300,261762.99317999982,253445.1455639999,51299.56408299997,1461.29145275,567968.9911349997
2021-01-23,300,239220.5249849998,251281.98915599988,51053.41719899994,1568.28269528,543124.2150029998
2021-01-24,300,252781.343118,232234.08748299998,48452.40276799994,1675.3382774699999,535143.1759969995
2021-01-25,300,265533.45959,261375.46047099997,56461.76512899998,1989.92778508,585360.6192909998
2021-01-26,300,279316.8267839997,261109.3607119998,53550.542212,2012.190101,595988.9007369999
2021-01-27,300,273441.8140199999,259143.369667,52446.92718199997,2045.07683674,587077.1993529997
2021-01-28,300,271235.3724449997,254300.4393069997,51419.11427199994,1652.66592423,578607.6029459994
2021-01-29,300,257742.5743969998,259143.4522859998,53744.33503399996,1602.66913589,572233.0429849993
2021-01-30,300,240914.9228819999,228298.70695399988,47022.16647299999,1661.7139092999998,517897.4957989995
2021-01-31,300,230410.909264,219320.90533599976,47816.45997499998,1639.4819382599999,499187.7520719997
2021-02-01,300,244992.74,245949.29,52670.88,1488.32,545101.28
2021-02-02,300,251950.77,239074.45,49148.93,1398.55,541572.64
2021-02-03,300,258253.4,242262.86,48828.74,1391.87,550736.84
2021-02-04,300,257236.34,246008.27,48303.83,1726.1,553274.55
2021-02-05,300,248610.41,241971.83000000002,48246.46,1661.02,540489.8
2021-02-06,300,231225.28,221575.3,45096.66,1554.39,499451.62
2021-02-07,300,224934.06,212167.66,43863.17,1602.04,482566.88
2021-02-08,300,250197.91999999998,240664.24,48630.86,1682.71,541175.78
2021-02-09,300,253479.29,253544.22,52196.59,1580.33,560800.44
2021-02-10,300,245207.53,246389.64,50145.71,1500.55,543243.41
2021-02-11,300,263121.43,245686.03,49189.25,1512.88,559509.58
2021-02-12,300,242310.0,238621.37,49926.96,1362.49,532220.85
2021-02-13,300,230444.26,224206.02,47243.99,1482.1,503376.36
2021-02-14,300,235439.59,212679.28,44479.79,1672.2,494270.85
2021-02-15,300,250813.57,241389.95,49637.520000000004,1668.8,543509.85
2021-02-16,300,253559.04,242678.38,49251.15,1669.99,547158.57
2021-02-17,300,253645.33000000002,245676.11,48347.659999999996,1842.64,549506.4299999999
2021-02-18,300,256289.93,244185.19,48883.57,1907.68,551266.34
2021-02-19,300,255223.89,241334.59,48204.84,1798.61,546561.92
2021-02-20,300,240685.53,217510.49,44680.87,1673.6299999999999,504550.49
2021-02-21,300,231760.99,208800.44,43523.32,1590.9,485675.63
2021-02-22,300,246567.06,238599.22,47851.909999999996,1689.49,534707.67
2021-02-23,300,246762.34,238792.02000000002,47517.37,1595.46,534667.19
2021-02-24,300,247469.86,242224.64,47440.35,1582.71,538717.52
2021-02-25,300,248007.81,240426.17,47281.31,1686.02,537401.22
2021-02-26,300,247607.55,241140.84,47097.62,1653.63,537499.66
2021-02-27,300,230106.83,220756.3,43949.89,1651.25,496464.28
2021-02-28,300,224531.4,211239.02,42008.68,1647.75,479426.83
2021-03-01,300,245849.29,242362.63,47374.0,1720.21,537306.07
2021-03-02,300,250070.47,246967.77,47966.67,1594.17,546599.09
2021-03-03,300,256112.22,265524.58,56099.72,1589.8,579326.32
2021-03-04,300,250956.76,251491.24,47409.65,1492.7,551350.33
2021-03-05,300,248847.61000000002,248169.97,45765.96,1624.53,544408.09
2021-03-06,300,229331.02,224516.97,41978.07,1422.39,497248.48
2021-03-07,300,221520.02,223791.15,44836.07,1439.02,491586.27
2021-03-08,300,256725.11,247383.88,48135.700000000004,1403.55,553648.18
2021-03-09,300,268590.56,251245.99,47674.85,1598.8,569110.19
2021-03-10,300,272874.04,259045.72999999998,49652.55,1848.98,583421.28
